station_id,station_name,network,city,state,latitude,longitude,location_type,charger_type,power_kw,num_chargers,operating_hours,payment_methods,amenities,status,cost_per_unit,parking_fee
EV1023,Mumbai Hospital - 24,BluSmart,Mumbai,Maharashtra,19.104778,72.81489,Hospital,Bharat DC-001,25.0,2,6 AM - 11 PM,"App, Card, UPI","Restroom, Waiting Area",Operational,10.03,50
EV1024,Mumbai Shopping Mall - 25,Fortum Charge & Drive,Mumbai,Maharashtra,19.041736,72.944765,Shopping Mall,Bharat AC-001,22.0,2,24/7,"App, Card, UPI",None,Operational,8.69,20
EV1025,Mumbai Highway Rest Stop - 26,Reliance BP,Mumbai,Maharashtra,19.219444,72.97973,Highway Rest Stop,Bharat DC-001,150.0,4,9 AM - 9 PM,"App, Card, UPI",Restroom,Operational,11.61,20
EV1026,Mumbai Highway Rest Stop - 27,Ather Grid,Mumbai,Maharashtra,19.247685,72.929324,Highway Rest Stop,Bharat DC-001,25.0,3,8 AM - 10 PM,"App, Card, UPI","WiFi, Cafe",Operational,10.73,30
EV1027,Mumbai Airport - 28,Ola Electric,Mumbai,Maharashtra,19.177907,72.917756,Airport,CHAdeMO,100.0,2,24/7,"App, Card, UPI",Restroom,Operational,12.24,50
EV1028,Mumbai Airport - 29,ChargeZone,Mumbai,Maharashtra,19.062838,72.857179,Airport,Bharat AC-001,11.0,3,24/7,"App, Card, UPI","Cafe, Restroom, Waiting Area",Operational,12.59,30
EV1029,Mumbai Shopping Mall - 30,Reliance BP,Mumbai,Maharashtra,19.186441,72.933327,Shopping Mall,AC Type 2,11.0,6,9 AM - 9 PM,"App, Card, UPI",None,Operational,8.19,30
EV1030,Mumbai Tech Park - 31,Tata Power EZ Charge,Mumbai,Maharashtra,19.172649,72.960623,Tech Park,AC Type 2,11.0,1,6 AM - 11 PM,"App, Card, UPI",Restroom,Operational,14.96,0
EV1031,Mumbai Restaurant - 32,Tata Power EZ Charge,Mumbai,Maharashtra,19.026507,72.877915,Restaurant,AC Type 2,7.4,3,8 AM - 10 PM,"App, Card, UPI","Cafe, Waiting Area",Operational,12.91,30
EV1032,Mumbai Shopping Mall - 33,BluSmart,Mumbai,Maharashtra,19.27335,72.836993,Shopping Mall,Bharat AC-001,7.4,3,24/7,"App, Card, UPI",Cafe,Operational,9.19,30
EV1033,Mumbai Petrol Pump - 34,Revolt Motors,Mumbai,Maharashtra,19.147793,72.977035,Petrol Pump,AC Type 2,11.0,2,24/7,"App, Card, UPI",Restroom,Operational,13.57,50
EV1034,Mumbai Residential Complex - 35,Revolt Motors,Mumbai,Maharashtra,19.276633,72.821117,Residential Complex,Bharat AC-001,7.4,1,6 AM - 11 PM,"App, Card, UPI",WiFi,Operational,14.51,50
EV1035,Mumbai Office Complex - 36,Fortum Charge & Drive,Mumbai,Maharashtra,19.222677,72.833835,Office Complex,CHAdeMO,60.0,4,6 AM - 11 PM,"App, Card, UPI","Cafe, Restroom, Waiting Area",Operational,10.21,20
EV1036,Mumbai Office Complex - 37,Reliance BP,Mumbai,Maharashtra,19.28121,72.915397,Office Complex,Bharat AC-001,3.3,1,8 AM - 10 PM,"App, Card, UPI",Waiting Area,Operational,12.84,30
EV1037,Mumbai Tech Park - 38,IOCL,Mumbai,Maharashtra,19.258167,72.857384,Tech Park,Bharat DC-001,100.0,2,9 AM - 9 PM,"App, Card, UPI","WiFi, Waiting Area",Operational,13.98,20
EV1038,Mumbai Hospital - 39,Statiq,Mumbai,Maharashtra,19.279221,72.863546,Hospital,AC Type 2,3.3,2,24/7,"App, Card, UPI","WiFi, Restroom, Waiting Area",Operational,9.55,50
EV1039,Mumbai Tech Park - 40,Revolt Motors,Mumbai,Maharashtra,19.252568,72.98903,Tech Park,AC Type 2,11.0,1,6 AM - 11 PM,"App, Card, UPI",Waiting Area,Operational,13.93,20
EV1040,Mumbai Hotel - 41,Revolt Motors,Mumbai,Maharashtra,19.010625,72.879297,Hotel,CHAdeMO,50.0,2,8 AM - 10 PM,"App, Card, UPI","WiFi, Cafe, Restroom",Operational,13.77,0
EV1041,Mumbai Office Complex - 42,Exicom,Mumbai,Maharashtra,19.186895,72.997009,Office Complex,AC Type 2,22.0,2,8 AM - 10 PM,"App, Card, UPI","Cafe, Waiting Area",Operational,9.35,50
EV1042,Mumbai Airport - 43,BluSmart,Mumbai,Maharashtra,19.210183,72.957388,Airport,AC Type 2,3.3,3,9 AM - 9 PM,"App, Card, UPI",WiFi,Operational,13.45,30
EV1043,Mumbai Highway Rest Stop - 44,BluSmart,Mumbai,Maharashtra,19.103114,72.848163,Highway Rest Stop,AC Type 2,7.4,3,9 AM - 9 PM,"App, Card, UPI","WiFi, Restroom",Operational,12.53,50
EV1044,Mumbai Office Complex - 45,Tata Power EZ Charge,Mumbai,Maharashtra,19.019805,72.999584,Office Complex,Bharat AC-001,7.4,2,6 AM - 11 PM,"App, Card, UPI",Cafe,Operational,11.4,20
EV1045,Delhi Restaurant - 1,ChargeZone,Delhi,Delhi,28.629051,77.262016,Restaurant,Bharat DC-001,60.0,4,6 AM - 11 PM,"App, Card, UPI",Waiting Area,Operational,13.22,20
EV1046,Delhi Metro Station - 2,Reliance BP,Delhi,Delhi,28.474261,77.044683,Metro Station,Bharat DC-001,150.0,2,24/7,"App, Card, UPI",Cafe,Operational,9.16,50
EV1047,Delhi Residential Complex - 3,Revolt Motors,Delhi,Delhi,28.718165,76.951294,Residential Complex,CCS2,100.0,6,6 AM - 11 PM,"App, Card, UPI",None,Operational,14.63,0
EV1048,Delhi Office Complex - 4,ChargeZone,Delhi,Delhi,28.682848,76.890802,Office Complex,Bharat DC-001,100.0,3,6 AM - 11 PM,"App, Card, UPI",WiFi,Operational,11.97,30
EV1049,Delhi Tech Park - 5,ChargeZone,Delhi,Delhi,28.896032,76.946433,Tech Park,Bharat DC-001,150.0,8,24/7,"App, Card, UPI","WiFi, Cafe",Operational,8.02,30
EV1050,Delhi Tourist Spot - 6,Kazam EV,Delhi,Delhi,28.489126,77.151369,Tourist Spot,Bharat DC-001,150.0,2,24/7,"App, Card, UPI","WiFi, Restroom, Waiting Area",Operational,9.97,20
EV1051,Delhi Airport - 7,ChargeZone,Delhi,Delhi,28.533284,77.033049,Airport,Bharat AC-001,7.4,2,24/7,"App, Card, UPI",None,Operational,12.17,30
EV1052,Delhi Residential Complex - 8,HPCL,Delhi,Delhi,28.609074,76.881065,Residential Complex,Bharat AC-001,7.4,1,6 AM - 11 PM,"App, Card, UPI",Cafe,Operational,12.29,20
EV1053,Delhi Petrol Pump - 9,Tata Power EZ Charge,Delhi,Delhi,28.552971,77.08501,Petrol Pump,AC Type 2,3.3,2,24/7,"App, Card, UPI",Restroom,Operational,9.59,0
EV1054,Delhi Shopping Mall - 10,Ather Grid,Delhi,Delhi,28.653144,77.057214,Shopping Mall,CHAdeMO,60.0,2,9 AM - 9 PM,"App, Card, UPI",None,Operational,14.47,50
EV1055,Delhi Hotel - 11,Fortum Charge & Drive,Delhi,Delhi,28.596319,76.870532,Hotel,AC Type 2,11.0,2,6 AM - 11 PM,"App, Card, UPI","WiFi, Cafe",Operational,12.48,30
EV1056,Delhi Tech Park - 12,ChargeZone,Delhi,Delhi,28.748965,76.943287,Tech Park,CHAdeMO,150.0,1,9 AM - 9 PM,"App, Card, UPI",Restroom,Operational,8.28,50
EV1057,Delhi Shopping Mall - 13,BluSmart,Delhi,Delhi,28.736511,76.856764,Shopping Mall,Bharat AC-001,22.0,1,8 AM - 10 PM,"App, Card, UPI",None,Operational,9.95,0
EV1058,Delhi Highway Rest Stop - 14,Reliance BP,Delhi,Delhi,28.738242,76.847189,Highway Rest Stop,Bharat DC-001,25.0,1,8 AM - 10 PM,"App, Card, UPI",WiFi,Operational,12.65,50
EV1059,Delhi Tourist Spot - 15,Exicom,Delhi,Delhi,28.663551,76.897605,Tourist Spot,CCS2,25.0,1,6 AM - 11 PM,"App, Card, UPI",Cafe,Operational,10.06,20
EV1060,Delhi Highway Rest Stop - 16,Magenta Power,Delhi,Delhi,28.695564,77.164801,Highway Rest Stop,CHAdeMO,60.0,2,6 AM - 11 PM,"App, Card, UPI","WiFi, Cafe, Restroom",Operational,11.91,0
EV1061,Delhi Petrol Pump - 17,Exicom,Delhi,Delhi,28.423376,76.892682,Petrol Pump,CCS2,50.0,4,9 AM - 9 PM,"App, Card, UPI","WiFi, Waiting Area",Operational,8.46,20
EV1062,Delhi Hospital - 18,HPCL,Delhi,Delhi,28.514164,76.950275,Hospital,AC Type 2,11.0,3,24/7,"App, Card, UPI",WiFi,Operational,8.31,0
EV1063,Delhi Airport - 19,Ather Grid,Delhi,Delhi,28.405709,77.135821,Airport,CCS2,60.0,1,9 AM - 9 PM,"App, Card, UPI","WiFi, Restroom",Operational,14.67,50
EV1064,Delhi Petrol Pump - 20,Tata Power EZ Charge,Delhi,Delhi,28.683081,76.938397,Petrol Pump,Bharat DC-001,25.0,2,8 AM - 10 PM,"App, Card, UPI",None,Operational,13.95,50
EV1065,Delhi Residential Complex - 21,Ather Grid,Delhi,Delhi,28.834754,77.219333,Residential Complex,AC Type 2,3.3,1,8 AM - 10 PM,"App, Card, UPI","WiFi, Restroom, Waiting Area",Operational,14.91,50
EV1066,Delhi Office Complex - 22,BPCL,Delhi,Delhi,28.450778,76.800618,Office Complex,Bharat AC-001,7.4,1,6 AM - 11 PM,"App, Card, UPI",Restroom,Operational,12.38,50
EV1067,Delhi Shopping Mall - 23,BluSmart,Delhi,Delhi,28.842691,77.105395,Shopping Mall,AC Type 2,3.3,3,24/7,"App, Card, UPI",Cafe,Operational,10.62,30
EV1068,Delhi Residential Complex - 24,Revolt Motors,Delhi,Delhi,28.508584,77.120289,Residential Complex,AC Type 2,7.4,4,6 AM - 11 PM,"App, Card, UPI",WiFi,Operational,8.48,20
EV1069,Delhi Petrol Pump - 25,Kazam EV,Delhi,Delhi,28.625176,76.861707,Petrol Pump,CCS2,150.0,2,24/7,"App, Card, UPI",Cafe,Operational,8.75,30
EV1070,Delhi Office Complex - 26,BPCL,Delhi,Delhi,28.88529,77.081074,Office Complex,CCS2,150.0,2,24/7,"App, Card, UPI","WiFi, Waiting Area",Operational,12.85,0
EV1071,Delhi Shopping Mall - 27,Tata Power EZ Charge,Delhi,Delhi,28.482678,76.930426,Shopping Mall,Bharat DC-001,150.0,8,8 AM - 10 PM,"App, Card, UPI",Cafe,Operational,12.39,30
EV1072,Delhi Tourist Spot - 28,Magenta Power,Delhi,Delhi,28.819966,77.170552,Tourist Spot,Bharat AC-001,7.4,3,8 AM - 10 PM,"App, Card, UPI","WiFi, Cafe",Operational,12.4,0
EV1073,Delhi Tourist Spot - 29,Ather Grid,Delhi,Delhi,28.807908,76.829474,Tourist Spot,CCS2,25.0,2,24/7,"App, Card, UPI",Cafe,Operational,12.33,50
EV1074,Delhi Tourist Spot - 30,ChargeZone,Delhi,Delhi,28.731753,77.126501,Tourist Spot,AC Type 2,11.0,1,8 AM - 10 PM,"App, Card, UPI","WiFi, Cafe",Operational,11.33,20
EV1075,Delhi Restaurant - 31,IOCL,Delhi,Delhi,28.526037,76.874145,Restaurant,AC Type 2,3.3,6,6 AM - 11 PM,"App, Card, UPI",None,Operational,11.79,20
EV1076,Delhi Airport - 32,Magenta Power,Delhi,Delhi,28.477954,77.078603,Airport,AC Type 2,7.4,1,8 AM - 10 PM,"App, Card, UPI","WiFi, Restroom",Operational,8.42,50
EV1077,Delhi Hospital - 33,Revolt Motors,Delhi,Delhi,28.787565,77.049925,Hospital,CCS2,50.0,2,9 AM - 9 PM,"App, Card, UPI","WiFi, Cafe, Restroom, Waiting Area",Operational,10.54,0
EV1078,Delhi Office Complex - 34,Statiq,Delhi,Delhi,28.849906,77.101391,Office Complex,CCS2,100.0,3,8 AM - 10 PM,"App, Card, UPI","Cafe, Restroom",Operational,14.54,50
EV1079,Delhi Tourist Spot - 35,Ather Grid,Delhi,Delhi,28.480672,77.117202,Tourist Spot,Bharat DC-001,25.0,3,24/7,"App, Card, UPI",WiFi,Operational,10.89,0
EV1080,Delhi Office Complex - 36,IOCL,Delhi,Delhi,28.463451,77.0668,Office Complex,Bharat DC-001,25.0,2,24/7,"App, Card, UPI","WiFi, Restroom",Operational,9.17,0
EV1081,Delhi Hotel - 37,Fortum Charge & Drive,Delhi,Delhi,28.681388,77.051127,Hotel,AC Type 2,7.4,8,9 AM - 9 PM,"App, Card, UPI","WiFi, Cafe",Operational,14.3,50
EV1082,Delhi Metro Station - 38,BPCL,Delhi,Delhi,28.548863,77.062421,Metro Station,Bharat AC-001,3.3,2,8 AM - 10 PM,"App, Card, UPI",None,Operational,11.62,0
EV1083,Delhi Tech Park - 39,Ather Grid,Delhi,Delhi,28.52561,76.977657,Tech Park,Bharat AC-001,3.3,1,24/7,"App, Card, UPI",WiFi,Operational,12.31,20
EV1084,Delhi Petrol Pump - 40,Exicom,Delhi,Delhi,28.507118,77.161473,Petrol Pump,Bharat AC-001,7.4,2,24/7,"App, Card, UPI",WiFi,Operational,8.3,20
EV1085,Delhi Airport - 41,Tata Power EZ Charge,Delhi,Delhi,28.449455,77.136299,Airport,CHAdeMO,100.0,1,6 AM - 11 PM,"App, Card, UPI","WiFi, Cafe, Restroom",Operational,14.37,20
EV1086,Delhi Hospital - 42,Tata Power EZ Charge,Delhi,Delhi,28.547032,77.093816,Hospital,CHAdeMO,50.0,3,24/7,"App, Card, UPI",Restroom,Operational,10.68,30
EV1087,Delhi Tech Park - 43,BluSmart,Delhi,Delhi,28.435053,77.164925,Tech Park,AC Type 2,11.0,3,6 AM - 11 PM,"App, Card, UPI","WiFi, Cafe",Operational,11.34,0
EV1088,Delhi Hotel - 44,HPCL,Delhi,Delhi,28.633262,77.249972,Hotel,Bharat AC-001,22.0,3,6 AM - 11 PM,"App, Card, UPI","WiFi, Restroom",Operational,11.16,0
EV1089,Delhi Petrol Pump - 45,Revolt Motors,Delhi,Delhi,28.666627,76.870069,Petrol Pump,Bharat AC-001,7.4,1,24/7,"App, Card, UPI","WiFi, Restroom, Waiting Area",Operational,12.33,20
EV1090,Delhi Hotel - 46,Tata Power EZ Charge,Delhi,Delhi,28.833281,76.871128,Hotel,Bharat AC-001,11.0,2,6 AM - 11 PM,"App, Card, UPI",Restroom,Operational,8.88,0
EV1091,Delhi Highway Rest Stop - 47,Ola Electric,Delhi,Delhi,28.541336,77.213934,Highway Rest Stop,AC Type 2,11.0,3,9 AM - 9 PM,"App, Card, UPI",None,Operational,14.73,50
EV1092,Delhi Residential Complex - 48,Statiq,Delhi,Delhi,28.563499,77.090452,Residential Complex,CCS2,100.0,2,6 AM - 11 PM,"App, Card, UPI",WiFi,Operational,14.59,20
EV1093,Delhi Tech Park - 49,ChargeZone,Delhi,Delhi,28.849369,76.941841,Tech Park,Bharat DC-001,50.0,3,8 AM - 10 PM,"App, Card, UPI",Cafe,Operational,13.14,30
EV1094,Delhi Hospital - 50,Ola Electric,Delhi,Delhi,28.848874,77.16979,Hospital,AC Type 2,3.3,4,8 AM - 10 PM,"App, Card, UPI",Restroom,Operational,9.1,20
EV1095,Delhi Airport - 51,Exicom,Delhi,Delhi,28.81349,77.159859,Airport,CHAdeMO,100.0,3,6 AM - 11 PM,"App, Card, UPI",Waiting Area,Operational,12.41,20
EV1096,Delhi Hotel - 52,Kazam EV,Delhi,Delhi,28.544201,76.844364,Hotel,Bharat DC-001,100.0,3,6 AM - 11 PM,"App, Card, UPI",WiFi,Operational,8.2,50
EV1097,Delhi Tech Park - 53,Statiq,Delhi,Delhi,28.448155,76.857535,Tech Park,Bharat DC-001,150.0,1,9 AM - 9 PM,"App, Card, UPI",None,Operational,10.22,0
EV1098,Delhi Tourist Spot - 54,Reliance BP,Delhi,Delhi,28.423291,77.17874,Tourist Spot,AC Type 2,3.3,3,6 AM - 11 PM,"App, Card, UPI","WiFi, Restroom",Operational,12.71,50
EV1099,Delhi Residential Complex - 55,HPCL,Delhi,Delhi,28.535013,77.10789,Residential Complex,AC Type 2,11.0,1,24/7,"App, Card, UPI",Waiting Area,Operational,8.63,20
EV1100,Delhi Airport - 56,Ather Grid,Delhi,Delhi,28.505925,76.942296,Airport,CHAdeMO,25.0,1,24/7,"App, Card, UPI",Cafe,Operational,12.39,0
EV1101,Delhi Residential Complex - 57,Fortum Charge & Drive,Delhi,Delhi,28.600269,77.015036,Residential Complex,Bharat DC-001,100.0,6,6 AM - 11 PM,"App, Card, UPI",WiFi,Operational,11.43,30
EV1102,Delhi Office Complex - 58,HPCL,Delhi,Delhi,28.422451,77.223627,Office Complex,AC Type 2,7.4,4,6 AM - 11 PM,"App, Card, UPI","WiFi, Waiting Area",Operational,9.31,0
EV1103,Delhi Petrol Pump - 59,Exicom,Delhi,Delhi,28.658102,76.814368,Petrol Pump,CHAdeMO,100.0,4,6 AM - 11 PM,"App, Card, UPI",WiFi,Operational,13.9,50
EV1104,Delhi Hotel - 60,IOCL,Delhi,Delhi,28.494877,77.19594,Hotel,CCS2,60.0,8,24/7,"App, Card, UPI","WiFi, Restroom",Operational,11.48,20
EV1105,Bangalore Residential Complex - 1,Ola Electric,Bangalore,Karnataka,12.951328,77.599471,Residential Complex,AC Type 2,7.4,2,6 AM - 11 PM,"App, Card, UPI","WiFi, Cafe",Operational,13.82,30
EV1106,Bangalore Metro Station - 2,Tata Power EZ Charge,Bangalore,Karnataka,12.814847,77.462509,Metro Station,Bharat AC-001,3.3,3,24/7,"App, Card, UPI","WiFi, Cafe, Waiting Area",Operational,11.91,30
EV1107,Bangalore Highway Rest Stop - 3,Ather Grid,Bangalore,Karnataka,12.951118,77.589163,Highway Rest Stop,Bharat DC-001,100.0,3,6 AM - 11 PM,"App, Card, UPI",Cafe,Operational,11.96,0
EV1108,Bangalore Tech Park - 4,BPCL,Bangalore,Karnataka,13.002815,77.547095,Tech Park,Bharat DC-001,150.0,1,9 AM - 9 PM,"App, Card, UPI","WiFi, Restroom",Operational,14.24,0
EV1109,Bangalore Shopping Mall - 5,Ather Grid,Bangalore,Karnataka,13.074834,77.628399,Shopping Mall,CHAdeMO,60.0,3,9 AM - 9 PM,"App, Card, UPI",WiFi,Under Maintenance,8.83,20
EV1110,Bangalore Tourist Spot - 6,Reliance BP,Bangalore,Karnataka,13.028864,77.74518,Tourist Spot,AC Type 2,7.4,2,24/7,"App, Card, UPI","WiFi, Cafe",Operational,12.32,50
EV1111,Bangalore Airport - 7,IOCL,Bangalore,Karnataka,13.03017,77.560021,Airport,Bharat DC-001,50.0,1,6 AM - 11 PM,"App, Card, UPI",None,Operational,11.32,50
EV1112,Bangalore Highway Rest Stop - 8,Ather Grid,Bangalore,Karnataka,13.096917,77.718087,Highway Rest Stop,AC Type 2,7.4,1,9 AM - 9 PM,"App, Card, UPI","WiFi, Cafe, Restroom",Operational,11.16,30
EV1113,Bangalore Airport - 9,Fortum Charge & Drive,Bangalore,Karnataka,12.859933,77.730051,Airport,Bharat DC-001,50.0,2,8 AM - 10 PM,"App, Card, UPI","WiFi, Cafe, Waiting Area",Operational,8.84,0
EV1114,Bangalore Restaurant - 10,Fortum Charge & Drive,Bangalore,Karnataka,13.014633,77.582638,Restaurant,Bharat AC-001,11.0,2,8 AM - 10 PM,"App, Card, UPI","WiFi, Cafe",Operational,12.1,0
EV1115,Bangalore Petrol Pump - 11,Ola Electric,Bangalore,Karnataka,12.946312,77.608214,Petrol Pump,AC Type 2,22.0,2,6 AM - 11 PM,"App, Card, UPI","WiFi, Cafe",Operational,9.46,30
EV1116,Bangalore Hospital - 12,HPCL,Bangalore,Karnataka,12.904568,77.410567,Hospital,CCS2,100.0,2,24/7,"App, Card, UPI",Cafe,Operational,8.88,50
EV1117,Bangalore Shopping Mall - 13,Tata Power EZ Charge,Bangalore,Karnataka,12.834467,77.467104,Shopping Mall,Bharat DC-001,50.0,3,24/7,"App, Card, UPI",WiFi,Operational,9.18,50
EV1118,Bangalore Hotel - 14,HPCL,Bangalore,Karnataka,12.824164,77.517418,Hotel,Bharat DC-001,60.0,1,6 AM - 11 PM,"App, Card, UPI","WiFi, Restroom, Waiting Area",Operational,12.96,20
EV1119,Bangalore Residential Complex - 15,Exicom,Bangalore,Karnataka,12.868283,77.653252,Residential Complex,AC Type 2,22.0,2,8 AM - 10 PM,"App, Card, UPI",WiFi,Operational,9.09,0
EV1120,Bangalore Tech Park - 16,ChargeZone,Bangalore,Karnataka,13.037053,77.760285,Tech Park,AC Type 2,3.3,2,6 AM - 11 PM,"App, Card, UPI","Cafe, Waiting Area",Operational,9.81,0
EV1121,Bangalore Residential Complex - 17,Ather Grid,Bangalore,Karnataka,12.964517,77.793806,Residential Complex,CHAdeMO,50.0,1,24/7,"App, Card, UPI",None,Operational,10.14,20
EV1122,Bangalore Hotel - 18,BPCL,Bangalore,Karnataka,12.94477,77.512052,Hotel,CHAdeMO,25.0,2,6 AM - 11 PM,"App, Card, UPI","Cafe, Waiting Area",Operational,11.89,0
EV1123,Bangalore Petrol Pump - 19,Ather Grid,Bangalore,Karnataka,13.061859,77.516808,Petrol Pump,Bharat AC-001,3.3,2,6 AM - 11 PM,"App, Card, UPI",WiFi,Operational,9.62,0
EV1124,Bangalore Shopping Mall - 20,BluSmart,Bangalore,Karnataka,12.943085,77.749726,Shopping Mall,CCS2,60.0,2,9 AM - 9 PM,"App, Card, UPI","WiFi, Cafe",Operational,12.94,50
EV1125,Bangalore Office Complex - 21,Magenta Power,Bangalore,Karnataka,12.998368,77.495884,Office Complex,Bharat AC-001,3.3,3,24/7,"App, Card, UPI","WiFi, Cafe, Restroom",Operational,14.7,50
EV1126,Bangalore Hospital - 22,Fortum Charge & Drive,Bangalore,Karnataka,13.00259,77.506304,Hospital,Bharat DC-001,60.0,3,9 AM - 9 PM,"App, Card, UPI",Cafe,Operational,10.59,20
EV1127,Bangalore Hospital - 23,BluSmart,Bangalore,Karnataka,12.918072,77.573639,Hospital,CHAdeMO,100.0,1,8 AM - 10 PM,"App, Card, UPI",None,Operational,13.96,30
EV1128,Bangalore Hospital - 24,Revolt Motors,Bangalore,Karnataka,12.945161,77.459332,Hospital,Bharat DC-001,150.0,2,24/7,"App, Card, UPI","Restroom, Waiting Area",Operational,13.23,0
EV1129,Bangalore Metro Station - 25,Ola Electric,Bangalore,Karnataka,12.807115,77.646971,Metro Station,Bharat AC-001,3.3,2,6 AM - 11 PM,"App, Card, UPI",None,Operational,10.78,50
EV1130,Bangalore Metro Station - 26,ChargeZone,Bangalore,Karnataka,12.827235,77.499834,Metro Station,AC Type 2,11.0,1,8 AM - 10 PM,"App, Card, UPI",Restroom,Operational,13.37,0
